AgentID,FirstName,LastName,DOB,Gender,salary,DrivingLicenseNo,Description,State,City,Street,ApartmentNo,Pincode,Landmark,EmailAddress,PhoneNumber1,PhoneNumber2,BankAC_No,IFSC_Code,UPI_ID
1,Way,Kohrsen,1974-02-03,Male,10839,HD4718,Devolved responsive alliance,New York,New York City,02 Novick Point,85,10270,near Metro,wkohrsen0@cbc.ca,+1-917-326-8165,,383206,CWD3507,383206@CWD3507
2,Christie,Mengo,1998-05-23,Female,12726,PQ8930,Implemented clear-thinking open system,Delaware,Wilmington,608 Walton Road,33,19897,,cmengo1@uiuc.edu,+1-302-466-0546,,761164,FMW6292,761164@FMW6292
3,Heywood,Fazakerley,1964-02-18,Female,12856,CU8439,Extended exuding support,Indiana,Indianapolis,46392 Chinook Court,20,46216,near Daily Market entry,hfazakerley2@businessinsider.com,+1-317-581-0484,,553359,IPN5377,553359@IPN5377
4,Mureil,Bewsy,1993-10-02,Other,14115,NK3334,Stand-alone didactic support,North Carolina,Greensboro,719 Merry Way,33,27409,,mbewsy3@youtu.be,+1-336-184-4672,,817014,ZJU2650,817014@ZJU2650
5,Janeczka,Ivchenko,1994-07-02,Female,10615,OL6813,Balanced global flexibility,Indiana,Fort Wayne,64751 Ohio Lane,82,46852,near Red light,jivchenko4@amazon.co.uk,+1-260-578-3479,,753669,WL1827,753669@WL1827
6,Elsinore,Benns,1985-12-27,Male,10224,SD5626,Self-enabling intangible attitude,Florida,Miami,064 Redwing Trail,70,33190,,ebenns5@sbwire.com,+1-305-637-1224,,960087,RKTQ0568,960087@RKTQ0568
7,Town,Reppaport,1980-12-24,Male,14543,ST6959,Function-based 24 hour application,Florida,Homestead,304 Dunning Park,52,33034,near Red light,treppaport6@ibm.com,+1-305-731-0109,,471526,BE5679,471526@BE5679
8,Gerta,,1993-08-07,Male,11918,OY6906,Ameliorated grid-enabled middleware,Kansas,Shawnee Mission,168 Sunbrook Hill,48,66276,near Daily Market entry,gsukbhans7@desdev.cn,+1-913-658-5968,+1-941-177-5621,102547,JOFV5686,102547@JOFV5686
9,Wendi,Grasha,1969-01-31,Male,10677,JT8049,Face to face solution-oriented architecture,New Jersey,Trenton,41 Michigan Avenue,47,8638,near Red light,wgrasha8@upenn.edu,+1-609-392-9440,,657645,VPVW9873,657645@VPVW9873
10,Elli,Lindblom,1991-04-30,Male,13523,CQ8538,Quality-focused asymmetric protocol,Florida,Gainesville,03409 Susan Alley,90,32605,,elindblom9@accuweather.com,+1-352-246-9941,,886418,WPOR6767,886418@WPOR6767
11,Estrellita,Kerrich,1977-12-29,Male,14018,NC0014,Down-sized scalable approach,Maryland,Baltimore,5 Main Pass,24,21239,,ekerricha@nps.gov,+1-410-940-3557,,235305,SZ3194,235305@SZ3194
12,Berny,Juckes,1986-12-29,Male,14535,NI5387,Ameliorated methodical leverage,Tennessee,Memphis,801 Talmadge Court,58,38143,near School,bjuckesb@hud.gov,+1-901-673-0610,,181151,MDPC4437,181151@MDPC4437
13,Karia,,1982-02-06,Male,10333,WO9261,Compatible eco-centric knowledge base,Texas,Houston,1844 Lakewood Junction,12,77240,near Daily Market entry,kbakerc@cpanel.net,+1-713-679-9690,,967263,GSQM1131,967263@GSQM1131
14,Dick,Crozier,1984-07-19,Other,14966,VA4386,Configurable real-time hardware,Texas,El Paso,30 Sunbrook Road,99,88530,near Daily Market entry,dcrozierd@hugedomains.com,+1-915-980-4991,,721036,SJ3925,721036@SJ3925
15,Koralle,McGlew,1970-05-13,Female,14086,WB6643,Open-source even-keeled moderator,Nevada,Las Vegas,963 Monument Circle,1,89130,,kmcglewe@linkedin.com,+1-702-102-3334,+1-205-931-4736,885082,LM1370,885082@LM1370
16,Harp,O'Henery,1978-04-02,Male,13304,SQ8206,Ameliorated neutral middleware,California,Oakland,96957 Goodland Park,27,94622,near Station,hoheneryf@yahoo.com,+1-510-371-0567,,334541,JI9561,334541@JI9561
17,Ora,Perceval,1970-09-12,Other,10361,KZ6664,Enterprise-wide multi-state budgetary management,Florida,Saint Petersburg,10700 Ruskin Park,41,33705,near Red light,opercevalg@ifeng.com,+1-727-671-9260,+1-989-569-7128,708229,XMDW0093,708229@XMDW0093
18,Felipa,Elsby,1990-06-28,Male,11258,AD7153,Decentralized high-level leverage,Alabama,Birmingham,67 Namekagon Street,60,35279,near School,felsbyh@nydailynews.com,+1-205-162-3504,+1-205-711-1394,947463,IT3688,947463@IT3688
19,Glad,Sabater,1978-06-26,Female,13519,RK5541,Organized optimizing matrix,Georgia,Atlanta,7530 Bellgrove Drive,54,30328,near Daily Market entry,gsabateri@google.de,+1-404-330-4302,,716589,IGZ0053,716589@IGZ0053
