OrderID,ItemsQuantity,State,City,Street,AppartmentNumber,Pincode,Landmark,Discount,DeliveryCost,TotalAmount,ModeOfPayment,TransactionID,OrderDate,DeliveryDate,AgentID,PharmacyID,PrescriptionID,UserID,Status,Subscription
1,7,Texas,Pingshi,51 Birchwood Lane,32,20053,near Metro,46.19,92.56,1039.54,Credit Card,WLCFLJ058716,2021-01-01,2021-01-11,21,54,,30,Being Placed,0
2,9,Texas,Vienna,7 Claremont Pass,63,79103,opposite Bakery,89.53,94.15,1449.59,E-Wallet,POHKGU853157,2021-01-01,2021-01-07,80,243,,107,Order Placed,0
3,2,Kansas,Yala,711 Surrey Parkway,17,47606,opposite Mall,34.65,54.8,179.35,Net Banking,YOSGEI935390,2021-01-01,2021-01-10,50,287,,109,Cancelled,0
4,1,Wisconsin,San Juan Nepomuceno,12 Blaine Circle,42,82351,near Bus Stand,80.86,32.5,-25.5,Delivered,BIUGRQ640888,2021-01-01,2021-01-08,16,288,528,127,Being Placed,1
5,7,North Carolina,Mandapajaya,5 Browning Parkway,93,60860,opposite Bakery,41.4,60.32,819.47,E-Wallet,XKBNPE969049,2021-01-01,2021-01-05,27,120,,140,Cancelled,0
6,1,California,Longhua,17 Esker Parkway,14,76949,opposite Bakery,90.92,36.01,15,Credit Card,SZMBAJ929182,2021-01-01,2021-01-05,100,172,,209,Dispatched,0
7,5,Virginia,Hengzhou,2 Fallview Crossing,70,29894,,34.57,81.87,1397.69,COD,WSNAYQ756611,2021-01-01,2021-01-08,2,97,,217,Delivered,0
8,10,Virginia,Vesëlyy,6251 Rowland Court,1,53864,,33.41,54.51,1445.76,Credit Card,AJCDRY261193,2021-01-01,2021-01-06,73,49,,221,Out For Delivery,0
9,9,Ohio,Cidolog,10 Nova Way,15,81436,,94.39,69.69,550.47,Credit Card,NDXHNA200728,2021-01-01,2021-01-09,7,246,,249,Being Placed,0
10,6,Tennessee,Dokuchayevs’k,0 Hallows Drive,96,91452,near Garden,53.62,56.24,314.99,Net Banking,BGOWCU569524,2021-01-01,2021-01-11,5,249,,373,Cancelled,0
11,8,Iowa,Nowy Dwór Gdański,0 Dawn Pass,19,81403,near Government School,99.96,70.62,2348.35,Net Banking,MPBYPR108322,2021-01-01,2021-01-08,48,144,,391,Being Placed,0
